audio_path,sentence
dataset/clips/common_voice_yo_37008105.mp3,Ọkọ àti ìyàwó ti gbọ̀nà oko lọ láti àárọ̀.
dataset/clips/common_voice_yo_37008107.mp3,Ilé ẹjọ́ gíga wọ́gilé ìyọnípò Àdìsá gẹ́gẹ́ bíi alága ẹgbẹ́ rẹ̀.
dataset/clips/common_voice_yo_37375997.mp3,Ẹnìkan pe àwọn wí pé ilé kan ń jó ní agbègbè náà.
dataset/clips/common_voice_yo_37375998.mp3,"Ọwá Obòkun ni orúkọ ọba ìlú Iléshà, Ajerò ni ti Ìjerò"
dataset/clips/common_voice_yo_37375999.mp3,Túndé kó sí gbaga ọlọ́pàá nítórí ikú ọmọ ọdún mẹ́wàá kan.
dataset/clips/common_voice_yo_36630542.mp3,Ó tẹ̀síwájú pé kò sí ẹnikẹ́ni tó farapa níbi ìṣẹ̀lẹ̀ náà.
dataset/clips/common_voice_yo_36630543.mp3,Lékan ní òun kò lérò pé òun le mókè nínú iṣẹ́ orin.
dataset/clips/common_voice_yo_36630544.mp3,Pásítọ̀ na àwọn ọmọ ìjọ láti mọ̀ bí wọn ṣe gbóná fún Ọ́lọ́run tó.
dataset/clips/common_voice_yo_37008267.mp3,Gómìnà obìnrin ẹyọ kan péré la ti ní ní ìpínlẹ̀ Ayédé
dataset/clips/common_voice_yo_37008268.mp3,Nítorí àwọn tí mo fi orúkọ wọn sílẹ̀ ni mo fi lọ sẹ́wọ̀n
dataset/clips/common_voice_yo_37008269.mp3,Inú àbótí ńlá ni Àjàní kó gbogbo àwọn aṣọ rẹ̀ sí.
dataset/clips/common_voice_yo_37008270.mp3,Ọba ló ba lórí ohun gbogbo ní àwùjọ tí ó bá tí ń jọba.
dataset/clips/common_voice_yo_37007082.mp3,"Nínú Ọlọ́pàá àti ààrùn jẹjẹrẹ, èwo ló yẹ ka bẹ̀rù?"
dataset/clips/common_voice_yo_37007083.mp3,Àwọn àgbàgbà ọlọ́pàá ti ṣàánú ọmọbìnrin tí wọn gbámú
dataset/clips/common_voice_yo_37007084.mp3,Àwọn aṣòfin ilẹ̀ Nàìjíríà ṣọ̀rọ̀ ìwúrí nípa Ajímọ̀bí.
dataset/clips/common_voice_yo_37007085.mp3,"Olórí gbọ́dọ̀ jẹ́ ẹni tó lóòótọ́, tí ò ní máa ṣọ̀tún-ṣòsì."
dataset/clips/common_voice_yo_37007076.mp3,Arákùnrin tí àwọn ọlọ́pàá mú ní òun kìí ṣe olè.
dataset/clips/common_voice_yo_37007077.mp3,Ìjọba ti mú ọmọ náà kúrò lọ́gbà ẹ̀wọ̀n.
dataset/clips/common_voice_yo_37007078.mp3,Àwọn Dókítà kan ti da iṣẹ́ sílẹ̀ nítorí àti gba owó lọ́wọ́ ìjọba
dataset/clips/common_voice_yo_37007079.mp3,Tírélà agbépo ṣekúpa ọmọ ọdún méjì àti àwọn mẹ́ta míì
dataset/clips/common_voice_yo_36525052.mp3,Olúọmọ oṣòdì má gbé jàgídíjàgan wá.
dataset/clips/common_voice_yo_36525054.mp3,"Ẹ tẹ ọkùnrin tó bá fipá bá obìnrin lòpọ̀ ní ọ̀dá, ìwà ìkà ni."
dataset/clips/common_voice_yo_36525056.mp3,Ìdí tí Ìyábọ̀ Ọbásanjọ́ fi ṣe pàtàkì ní ìpínlẹ̀ Ògùn nìyí o
dataset/clips/common_voice_yo_36525057.mp3,Àjẹ́ ni àwọn ìyá Àjànàkú àti Àlàbí.
dataset/clips/common_voice_yo_36530198.mp3,Ǹkan mẹ́ta ló fàá tí jàndùkú fi ń yìnbọn pa àwọn ọlọ́pàá
dataset/clips/common_voice_yo_36530199.mp3,Àwọn aṣewádìí náà gbọ́dọ̀ ri pé wọ́n ṣe ìwádìí wọn fínnífínní
dataset/clips/common_voice_yo_36530200.mp3,Wọ́n ní àwọn méjìlá ní wọ́n bódòlọ.
dataset/clips/common_voice_yo_36530201.mp3,Adébimpé gba omijé lójú Adédiméjì.
dataset/clips/common_voice_yo_36525842.mp3,Àwọn jàndùkú jí Rẹ̀mí gbé.
dataset/clips/common_voice_yo_36525843.mp3,Ọwọ́ ọlọ́pàá tẹ arákùrin ajínigbé kan ní ìlú Òṣogbo.
dataset/clips/common_voice_yo_36525845.mp3,Bùhárí ń bèèrè fún àforíjìn gbèsè tí a jẹ lọ́dọ̀ àjọ àgbáyé
dataset/clips/common_voice_yo_36525846.mp3,Ìpinu mi fọ́dún yìí ni láti yí padà si obìnrin pátápátá.
dataset/clips/common_voice_yo_36525938.mp3,Àwa la gbé ìgbá orókè nínú ìdíje eré bọ́ọ̀lù ní Ìbàdàn
dataset/clips/common_voice_yo_36525940.mp3,Bílíònú mẹ́fà ni ìjọba ìpínlẹ̀ Ekiti yòó ná lórí Àmọ̀tẹ́kùn.
dataset/clips/common_voice_yo_36525941.mp3,Gómìnà Ọbásànyà yọ ọ̀gá ikọ̀ ọlọ́pàá nípò.
dataset/clips/common_voice_yo_36525942.mp3,Adéwálé fèsì padà pé àwọn àgbààgbà tó ní owó lọ́wọ́ wà níbẹ̀.
dataset/clips/common_voice_yo_37357986.mp3,"Láàárín ìdílé ẹlẹ́ni márùn-ún yìí, ọmọ kan ṣoṣo ló léè sọ̀rọ̀."
dataset/clips/common_voice_yo_37357987.mp3,"Irọ́ ni wọn ń pa, mi ò sálọ sí sílẹ̀ òkèrè nítorí ìwọ́de."
dataset/clips/common_voice_yo_37357988.mp3,Òtútù àsìkò yìí pọ̀ lápọ̀ jù.
dataset/clips/common_voice_yo_37357991.mp3,Esì àyẹwò ọmọ ati ìyáwọ ọmọ Atiku ti jáde.
dataset/clips/common_voice_yo_36545509.mp3,Orilẹ ede Nàìjíríà ni lati ni ilọsiwaju ninu iṣẹ sinimá.
dataset/clips/common_voice_yo_36545510.mp3,Ẹni tó fí ìbínú lu Ábúdù ọlọ́kadà pa ní Abẹ́òkuta ti sálọ.
dataset/clips/common_voice_yo_36545512.mp3,Ayẹyẹ elégún yẹn yóò párí ní Ọjọ́ Ajé tó ń bọ̀.
dataset/clips/common_voice_yo_36545513.mp3,Odùduwà sọ fún Oyètọ́lá nípa ọ̀gá ilé ìwé mẹ́ta tó dá dúró
dataset/clips/common_voice_yo_36731015.mp3,Ó pe ọlọ́pàá láti yanjú aáwọ̀ ìlú lórí owó orí lọ́jọ́ Ajé.
dataset/clips/common_voice_yo_36731019.mp3,Àwọn Fúlàní ya bo ilé ìtura àwọn akẹ́kọ̀ọ́ wa
dataset/clips/common_voice_yo_36731020.mp3,Wọ́n fi Ṣàǹgó búra fún ààrẹ Nàìjíríà tuntun.
dataset/clips/common_voice_yo_36731021.mp3,Wọ́n ti rán Adéṣọlá lọ ésí ẹ̀wọ̀n ọdún méjìlélọ́gbọ̀n
dataset/clips/common_voice_yo_37011479.mp3,"Ojú ẹni máa là, á rí tó lórílẹ̀ èdè Nàìjíríà."
dataset/clips/common_voice_yo_37011481.mp3,Wọ́n ti kéde ètò ìsìnkú Ajímájàṣán àti ọjọ́ tí wọn yóò sin-ín
dataset/clips/common_voice_yo_37011482.mp3,Adébáyò wá kábàámọ̀ pé ọ̀pọ̀ nǹkan ni wọ́n ń tọwọ́ òṣèlú bọ.
dataset/clips/common_voice_yo_37011483.mp3,Ọdún kẹ́ta rẹ̀é ti ọkọ àti ìyàwó ò tí ì bímọ.
dataset/clips/common_voice_yo_36883852.mp3,Àwọn ológun ti gbàjọba ní ìlú kan tó wà lẹ́gbẹ̀ẹ́ Odò Ọya
dataset/clips/common_voice_yo_36883853.mp3,Gómìnà Oyètọ́lá ti pè fún alàáfíà láàrin àwọn ọmọ ẹgbẹ́ rẹ̀
dataset/clips/common_voice_yo_36883854.mp3,Amọ̀fin tó ń ṣáájú ikọ̀ agbẹjọ́rò fún ẹgbẹ́ náà ní ìlànà.
dataset/clips/common_voice_yo_36883855.mp3,Iléẹjọ́ ṣe ìdájọ́ iléìfowópamọ́ lori ìwà jìbìtì.
dataset/clips/common_voice_yo_36883856.mp3,Ọlá yóò gúnlẹ̀ sí Ọ̀yọ́ ní ọ̀sẹ̀ tó ń bọ̀.
dataset/clips/common_voice_yo_37324633.mp3,Atọ́kùn egúngún kan àti ọmọ rẹ̀ ti kọjá sí òdìkejì ìlú láti jẹun.
dataset/clips/common_voice_yo_37324634.mp3,Gómìnà Makinde bá mọ̀lẹ́bí ọkùnrin náà kẹ́dùn lọ́jọ́ náà
dataset/clips/common_voice_yo_37324649.mp3,Ìjọba àpapọ̀ ń sọ̀rọ̀ tòótọ́ fún wa.
dataset/clips/common_voice_yo_37324651.mp3,Ìwòsàn ló bá Kẹ́mi dáwọ́ ìtọ̀ dúró.
dataset/clips/common_voice_yo_37324658.mp3,Túńdé pe gbogbo ẹgbẹ́ jọ láti sọ fún wọn pé kí wọ́n gbaradì.
dataset/clips/common_voice_yo_36667499.mp3,Èmi àti Túndé ti kọ́ ẹ̀kọ́ síi nípa ààlọ́ Yorùbá
dataset/clips/common_voice_yo_36667500.mp3,Kí lẹ̀ ń bú ààrẹ fún nítorí Ọlọ́run.
dataset/clips/common_voice_yo_36667501.mp3,Ènìyàn mẹjọ mìíràn tún ti ní ààrùn jẹjẹrẹ ní Nàìjíríà.
dataset/clips/common_voice_yo_36667502.mp3,Ọkùnrin nìkan náà ni ó lè wo orò ní ilẹ̀ Yorùbá.
dataset/clips/common_voice_yo_36667503.mp3,Rẹ̀mi ti kú nípa ìkọlù tó wáyé.
dataset/clips/common_voice_yo_36521453.mp3,Àwọn olórí Yorùbá ti ní kò ní sí ètò ìdìbò lọ́dún tó ń bọ̀.
dataset/clips/common_voice_yo_36521454.mp3,Ìtàn málegbàgbé ni àwọn ìtàn akọni bíi Mọ́remí ní àwùjọ Yorùbá.
dataset/clips/common_voice_yo_36521455.mp3,Adébóyè ní ọ̀pọ̀ nǹkan ńlá ni yóò ṣẹlẹ̀ lẹ́yìn ìgbélé ààrùn.
dataset/clips/common_voice_yo_36521456.mp3,Sanwó-Olú ní ìbùdó ìgbé ọkọ̀ sí yóò wà yíká Èkó.
dataset/clips/common_voice_yo_36521457.mp3,̄Mo máa yà ilé ìwòsàn láti gba èsì àyẹ̀wò tí mo ṣe.
dataset/clips/common_voice_yo_37022804.mp3,Àwọn dókítà ti ń ṣe ìdánilẹ́kọ̀ọ́ ìmọ̀tótó fún àwọn ọ̀dọ́.
dataset/clips/common_voice_yo_37022805.mp3,Àwọn òyìnbó aláwọ̀ funfun ṣì tún ń bọ̀ wá kó wa lẹ́rú lẹ́ẹ̀kan si.
dataset/clips/common_voice_yo_37022806.mp3,Ẹ wo adúrú nǹkan tí wọ́n ma ń tò pọ̀ láti sín àwọn òṣèré.
dataset/clips/common_voice_yo_37022807.mp3,Ọwọ́ àwọn ọ̀dọ́ tẹ awọn ajínigbé kan ní Ìbàdàn.
dataset/clips/common_voice_yo_37022808.mp3,Péjú ra àṣọ olódòdó kan ti ó rẹwà.
dataset/clips/common_voice_yo_36980885.mp3,Ilé ẹ̀kọ́ fásitì Ìlọrin tí jáwé olúborí nínú ìfigagbága àná
dataset/clips/common_voice_yo_36980886.mp3,"Àwọn agbébọn pa eèyàn púpọ̀ ní ìú Ọ̀ṣun, bẹ́ẹ̀ ní Ọ̀yọ́ náà."
dataset/clips/common_voice_yo_36980887.mp3,Bàbá bàbá mi ni Lèmọ́mù àkọ́kọ́ ní Ìbàdàn.
dataset/clips/common_voice_yo_36980888.mp3,Obìnrin kan gún ọ̀rẹ́kùnrin rẹ̀ pa nítorí kò fún òun lóyún.
dataset/clips/common_voice_yo_36980891.mp3,Wọ́n ti ṣilẹkùn ilé ìwé padà lẹ́yìn tí wọ́n bọ́ nínú ààrùn náà.
dataset/clips/common_voice_yo_36533862.mp3,Kẹ́mi Dáìró ti tún àṣírí àwọn ṣẹ́nítọ̀ orílẹ̀ èdè Nàìjíríà.
dataset/clips/common_voice_yo_36533863.mp3,Bọ̀dé ní òun ti di atúnbí àti ajíhìnrere.
dataset/clips/common_voice_yo_36533864.mp3,Adérẹ̀mí Ọbásanmí padà sílé aṣòfin àgbà fún sàá míràn.
dataset/clips/common_voice_yo_36533865.mp3,"Àṣẹ̀yìnwá àṣẹ̀yìnbọ̀, gbogbo oun tí a bèèrè ni a ti rí gbà."
dataset/clips/common_voice_yo_36533866.mp3,Wọ́n ní kọ́ mú ẹnu kúrò nínú ọ̀rọ̀ nàá.
dataset/clips/common_voice_yo_36524963.mp3,Kò ju nǹkan bíi wákàtí mẹ̀ta tí a kúrò níbẹ̀.
dataset/clips/common_voice_yo_36524964.mp3,Ẹgbẹ́ ọmọ Odùduwà bẹ̀bẹ̀ lọ́wọ́ Ọlọ́run pẹ̀lú ààwẹ̀ àti àdúrà
dataset/clips/common_voice_yo_36524965.mp3,Àwọn agbófinró rí òkú bàbá arúgbó kan ní ẹ̀bá ọ̀nà.
dataset/clips/common_voice_yo_36524966.mp3,Bùhárí sọ pé òun gbé àwọn ìgbésẹ̀ náà nítorí ìjàm̀bá ọkọ̀.
dataset/clips/common_voice_yo_36524967.mp3,Ìjọba Àkúrẹ́ àti Oǹdó ti pinnu láti ní àjọṣepọ̀
dataset/clips/common_voice_yo_36536721.mp3,Gómìnà Mákindé ké sáwọn lọ́balọ́ba lágbègbè Akínyẹlẹ́.
dataset/clips/common_voice_yo_36536722.mp3,Adéwálé Ẹlẹ́mu ti dáná sun gbogbo àgbàdo oko ẹ̀
dataset/clips/common_voice_yo_36536723.mp3,Yínká àti ẹbí àwọn akọ̀wé ìròyìn ti kópa nínú ètò ìsọmọlórúkọ.
dataset/clips/common_voice_yo_36536724.mp3,Ilé aṣòfin ìpínlẹ̀ Oyo jáwée lọ sinmi nílé fún alága ìgbìmọ̀.
dataset/clips/common_voice_yo_36536725.mp3,Kíní ìtumọ̀ Sọ̀rọ̀ Sókè tí àwọn afẹ̀họ́núhàn ń lò káàkiri.
dataset/clips/common_voice_yo_36717369.mp3,Ọdùn mẹ́fà sẹ́yìn ni ogun kọ́kọ́ bẹ́ sílẹ̀ ní agbègbè náà.
dataset/clips/common_voice_yo_36717370.mp3,Ọ̀rọ̀ Sàràkí lu ìkànnì pa.
dataset/clips/common_voice_yo_36717371.mp3,Mo gbóṣùbà fún àwọn tó bá mi sọ̀rọ̀ nípa àwọn mẹ̀kúnnù
dataset/clips/common_voice_yo_36717372.mp3,Àfáà Kàrímù ń wáàsù kí àwọn alátìlẹ́yìn rẹ̀ má gba abẹ́rẹ́ àjẹ́sára.
dataset/clips/common_voice_yo_36717373.mp3,Ènìyàn mẹ́tàdínlógún kú nínú ìjàmbá ọkọ̀ mẹ́ta tó ṣẹlẹ̀ ní Osun.
dataset/clips/common_voice_yo_36667504.mp3,Ẹ wo bí àwọn agùntáṣọọ́lò ọkùnrin ṣe pọ̀ tó nínú ilé wa
dataset/clips/common_voice_yo_36667505.mp3,Mo fẹ́ bá àwọn ọmọ Ajílẹ́yẹ ṣeré fún bí ọdún mẹ́ta síi
dataset/clips/common_voice_yo_36667506.mp3,Ikú burúkú ló pa ìyàwó Rẹ̀mí ní ìjẹrin.
dataset/clips/common_voice_yo_36667507.mp3,"Ẹni tí ò bá lérò, tí ò létò, o lè jẹ́ olórí ti wa."
dataset/clips/common_voice_yo_36667508.mp3,Olúmidé ti rọ àwọn ènìyàn pé kí wọn má fojú òṣèlú wo àbẹ̀wò òun.
dataset/clips/common_voice_yo_36854387.mp3,Adé ti kó lọ sí ìlú òyìnbó láti ìlú Èkó.
dataset/clips/common_voice_yo_36854388.mp3,Àwọn olorì ti ń kú rò nílùú lẹ́yọ kọ̀ọ̀kan nítorí àìsàn ọba.
dataset/clips/common_voice_yo_36854389.mp3,Àwọn olùgbé rawọ́ ẹ̀bẹ̀ sí ìjoba lẹ́yìn tí òjò rọ̀ nílùú Ìlọrin.
dataset/clips/common_voice_yo_36854390.mp3,Ohun burúkú ń ṣẹlẹ̀ l'Ọ́yọ̀.
dataset/clips/common_voice_yo_36854391.mp3,Àṣà nílẹ̀ Yorùbá kún fún ìwà ọmọlúàbí.
dataset/clips/common_voice_yo_37010047.mp3,Ọmọ Ìgbòho ni agbẹjọ́rò Ìgbòho.
dataset/clips/common_voice_yo_37010048.mp3,Lọ́dọ̀ ìjọba àpapọ̀ ni a ti gbọ́ ìpè fún àgùbánirọ̀ àwọn ọ̀dọ́.
dataset/clips/common_voice_yo_37010049.mp3,Ọba kan ní Ìmẹ̀sí ilé ti sọ owó púpọ̀ nù lọ́jà
dataset/clips/common_voice_yo_37010050.mp3,Adé ní òun kò ní fi iṣẹ́ eré tíátà sílẹ̀.
dataset/clips/common_voice_yo_37010051.mp3,Ṣé o wá lè jókòó láì farapa ní àyè yẹn?
dataset/clips/common_voice_yo_36839821.mp3,Ìyá olorì banújẹ́ lórí bí ọmọ rẹ̀ ṣé ṣeọ̀pọ̀ èèyàn níbí.
dataset/clips/common_voice_yo_36839822.mp3,Báyọ̀wá sọ pé àánú Ọlọ́run ló sọ òun di akọrin lónìí
dataset/clips/common_voice_yo_36839823.mp3,Owó oṣù ènìyàn ọgbọ̀n ni ẹnìkan gbà lójúmọ́ kan.
dataset/clips/common_voice_yo_36839824.mp3,Ọ̀dẹ́dọlá ní òun nílò ẹni tó jólóòtọ́ ní iléeṣé òun.
dataset/clips/common_voice_yo_36839825.mp3,Olóògbé Táíwò Adégbóyèga jẹ́ ènìyàn pàtàkì ní orílẹ̀-èdè yìí.
dataset/clips/common_voice_yo_36881218.mp3,"Wo ìkílọ̀ Ìjọba àpapọ̀, Ọlọ̀pàá àti Gómìnà Sanwó-olú."
dataset/clips/common_voice_yo_36881219.mp3,Ààrẹ àkọ́kọ́ ní Ọ̀yọ́ jáde láyé.
dataset/clips/common_voice_yo_36881220.mp3,Mo ní kí wọ́n yé ṣe àwáwí fún bàbá Ìjẹ̀shà fún oun tó ṣẹ
dataset/clips/common_voice_yo_36881221.mp3,Àwọn èèyàn pàdánù ẹ̀mí wọn nínú ìjàmbá ọkọ ní Èkó.
dataset/clips/common_voice_yo_36881222.mp3,Ọ̀pọ̀ olùgbé Agodi ló fara pa nitorí ìkọlù àwọn ẹlẹ́wọ̀n
dataset/clips/common_voice_yo_36667514.mp3,Ọjọ́ tó burú jùlọ nínú ìrìnàjò òṣèlú ni ọjọ́ ti Adéwálé darapọ̀ mọ́ wa
dataset/clips/common_voice_yo_36667515.mp3,Adájọ́ kọ̀ láti dáwọn ọmọlẹ́yìn Ìgbòho mẹ́rin padà sí àtìmọ́lé.
dataset/clips/common_voice_yo_36667516.mp3,Débọ̀ ti sọ̀rọ̀sókè fún ìjọba Nàìjíríà lẹ́yìn tó ti àtìmọ́lé dé.
dataset/clips/common_voice_yo_36667517.mp3,"Ní ìpínlẹ̀ Èkó, mo bèèrè fún ààbò lọ́wọ́ ọlọ́pàá"
dataset/clips/common_voice_yo_36667518.mp3,"Bí iléeṣẹ́ ọlọ́pàá nílẹ̀ òkèrè ṣe parí ẹ̀ṣùn rẹ̀, ó padà sí ìlú rẹ̀."
dataset/clips/common_voice_yo_37009142.mp3,Èmi náà lọ mu bíà díẹ̀ níbẹ̀ ni nírọ̀lẹ́ ọjọ́ yẹn.
dataset/clips/common_voice_yo_37009143.mp3,"Kò yẹ kí ìyà jẹ́ bàbá àti ìyá, kó tún wá jẹ ọmọ náà."
dataset/clips/common_voice_yo_37009144.mp3,Àwọn ọlọ́pàá fìdí rẹ̀ múlẹ̀ wí pé ọkùnrin ló fẹ́ pa ara rẹ̀.
dataset/clips/common_voice_yo_37009145.mp3,Ó ṣe pàtàkì fún gbogbo ọmọ orílẹ̀-èdè láti pawọ́pọ̀ tùn ìlu yìí se.
dataset/clips/common_voice_yo_37009146.mp3,Àwọn onímọ̀ sọ pe eré ìdárayá máa ń fikún adùn ìbálòpọ̀.
dataset/clips/common_voice_yo_36536731.mp3,Àwọn géńdé agbébọn ló lè dènà ogun pẹ̀lú àwọn Fúlàní
dataset/clips/common_voice_yo_36536732.mp3,Mo ṣe fídíò láti tọrọ owó tórí àìsàn ìtọ̀ ṣúgà tí mo ní.
dataset/clips/common_voice_yo_36536733.mp3,Gbígba ilẹ̀ fún ìdaranjẹ̀ lẹ́kùn gúúsù ó dára.
dataset/clips/common_voice_yo_36536734.mp3,Àmọ́ wọ́n ní nǹkan kò rọgbọ ní orílẹ̀ èdè Nàìjíríà.
dataset/clips/common_voice_yo_36536735.mp3,Ọba Àlàó àti Olorì rẹ̀ bí ìbejì lẹ́yìn tí nǹkan oṣù ti dúró.
dataset/clips/common_voice_yo_36916883.mp3,Àsìkò ọyẹ́ ti máa ń gbẹ jù.
dataset/clips/common_voice_yo_36928643.mp3,Ìbànújẹ́ gba ìlú kan nígbà tí àṣìta ìbọn ba ọmọ ọdún méjì kan.
dataset/clips/common_voice_yo_36928645.mp3,Lọ́dọ̀ àwọn agbẹjọ́rò tó ń gbé Ìshẹri ni mo ti kọ́kọ́ gbọ́ ẹjọ́ rẹ̀
dataset/clips/common_voice_yo_36928646.mp3,Màmá tó jẹ́ onímọ̀ òye kọjá lọ ní àárọ̀ kùtùkùtù lánàá
dataset/clips/common_voice_yo_36928647.mp3,Wọ́n ní kí àwọn èèyàn dẹ́kun láti máa pe àwọn obìnrin ní aṣéwó.
dataset/clips/common_voice_yo_37007036.mp3,Dàpọ lọ si Ọ̀ṣun láti polongo ìbò.
dataset/clips/common_voice_yo_37007037.mp3,Ìyanṣẹ́lódì míràn kò ní pẹ́ bẹ̀rẹ̀ àyàfi tí Ijọba bá dá wa lóhùn
dataset/clips/common_voice_yo_37007038.mp3,Ètò ìsìnkú olóògbé náà yóò wáyé láì pé.
dataset/clips/common_voice_yo_37007039.mp3,Ilé Aṣòfin Ògùn ní kí Ọlá wá dàhùn ẹ̀sùn tí wón fi kàn án.
dataset/clips/common_voice_yo_37007040.mp3,Yẹmí ní kí Tinúbu sọ fún ẹgbẹ́ rẹ ki wọn ṣe ìlérí.
dataset/clips/common_voice_yo_37007046.mp3,Láti bí ọjọ́ mẹ́rìnlá ni àwọ́n èèyàn mẹ́rin ti wà ní àhámọ́
dataset/clips/common_voice_yo_36916743.mp3,Bàbá àgbàlagbà sá kúrò nílé lẹ́yìn tí ìyàwó rẹ̀ lóyún ìbẹta.
dataset/clips/common_voice_yo_36916746.mp3,Àwọn mélòó ni wọn ń sanwó láti fẹ́ ọkùnrin?
dataset/clips/common_voice_yo_36916747.mp3,Báwo lo ṣe leè mọ Oogùn apakòkòrò tó jẹ́ ayédèrú?
dataset/clips/common_voice_yo_36916759.mp3,Adésọjí ti di ẹlẹ́wọ̀n ní Amẹ́ríkà tí orúkọ̀ rẹ̀ wà lórí ayélujára.
